薬品ｺｰﾄﾞ	ﾖﾐｶﾞﾅ	種	薬品名	規格	メーカー	棚番	薬価	購入価	在庫数	調整量	単位	①薬価金額	②購入金額	①－②	販売会社	厚生省ｺｰﾄﾞ
61319825Q10201	ｱｲﾗﾐﾄﾞﾃ	外	アイラミド配合懸濁性点眼液(本5mL)		千寿製薬	下点眼､5ml/本	476.6	407.16	25	0	mL	11915	10179	1736	武田薬品	1319825Q1025	4987123000949;
62649710M20947	ｱｴﾝｶ01	外	亜鉛華（１０％）単軟膏「ヨシダ」(ﾊﾞﾗ1ｇ)		吉田製薬	軟膏棚	1.95	0	0	0	ｇ	0	0	0	吉田製薬	2649710M2092	4987288731252;
62649704M11847	ｱｴﾝｶﾅﾝｺ	外	亜鉛華軟膏「ヨシダ」(ﾊﾞﾗ1ｇ)		吉田製薬	軟膏棚	2.29	2.28	0	0	ｇ	0	0	0	吉田製薬	2649704M1180	4987288730255;
62639700N10301	ｱｸｱﾁﾑｸﾘ01	外	アクアチムクリーム１％(ﾁｭｰﾌﾞ10ｇ)		大塚製薬	外用茶､10g/本	26.6	26.6	20	0	ｇ	532	532	0	大塚製薬	2639700N1032	4987035018414;
62639700M10201	ｱｸｱﾁﾑﾅ01	外	アクアチム軟膏１％(ﾁｭｰﾌﾞ10ｇ)		大塚製薬	外用下､10g/本	26.6	34.9	10	0	ｇ	266	349	-83	大塚製薬	2639700M1029	4987035015512;
76399421G20201	ｱｸﾃﾑﾗﾋ16	注	アクテムラ皮下注１６２ｍｇオートインジェクター　０．９ｍＬ(ｷｯﾄ1ｷｯﾄ)		中外製薬	冷蔵庫上	32608	29051	0	0	ｷｯﾄ	0	0	0	中外製薬	6399421G2029	4987136119409;
62699703M10302	ｱｸﾄｼﾝﾅ	外	アクトシン軟膏３％(ﾁｭｰﾌﾞ30ｇ)		ニプロファーマ	冷蔵庫ドア､30g/本	38.1	28.8667	40	0	ｇ	1524	1154.668	369.332	マルホ	2699703M1039	4987213109101;
62699703M10303	ｱｸﾄｼﾝﾅ	外	アクトシン軟膏３％(ﾁｭｰﾌﾞ200ｇ)		ニプロファーマ	冷蔵庫ドア､200g/本	38.1	0	0	0	ｇ	0	0	0	マルホ	2699703M1039	4987213109125;
53969007F10201	ｱｸﾄｽ01	内	アクトス錠１５　１５ｍｇ(PTP1錠)		武田テバ薬品	茶､PTP/ﾊﾞﾗ	40.4	30.62	255	0	錠	10302	7808.1	2493.9	武田薬品	3969007F1024	4987123136273;
54299003M10201	ｱｸﾞﾘﾘﾝｶ05	内	アグリリンカプセル０．５ｍｇ(PTP1Ｃ)		武田薬品	下劇	788.7	705.3977	88	0	Ｃ	69405.6	62074.9976	7330.6024	武田薬品	4299003M1020	4987123161534;
52399015F10201	ｱｺﾌｧｲﾄﾞｼﾞ	内	アコファイド錠１００ｍｇ(PTP1錠)		ゼリア新薬	茶､PTP/ﾊﾞﾗ	34.5	27.39	471	0	錠	16249.5	12900.69	3348.81	ゼリア新薬	2399015F1020	4987103012900;
56219001H10501	ｱｻﾞﾙﾌｨｼ50	内	アザルフィジンＥＮ錠５００ｍｇ(PTP1錠)		あゆみ製薬	茶	37	28.33	389	0	錠	14393	11020.37	3372.63	あゆみ製薬	6219001H1056	4987896000146;
56250002F12301	ｱｼｸﾛﾋﾞﾙｼﾞ	内	アシクロビル錠２００ｍｇ「サワイ」(PTP1錠)		沢井製薬	下	24.3	19.3	156	0	錠	3790.8	3010.8	780	沢井製薬	6250002F1238	4987080626015;
52325005F10301	ｱｼﾉﾝ15	内	アシノン錠１５０ｍｇ(PTP1錠)		ゼリア新薬	茶､PTP/ﾊﾞﾗ	21.4	16.68	74	0	錠	1583.6	1234.32	349.28	ゼリア新薬	2325005F1031	4987103011743;
61317714Q10201	ｱｼﾞﾏｲｼﾝﾃﾝ	外	アジマイシン点眼液１％(本2.5mL)		千寿製薬	在庫なし	301.5	260.64	12.5	0	mL	3768.75	3258	510.75	武田薬品	1317714Q1024	4987123161213;
52149048F30201	ｱｼﾞﾙﾊﾞｼﾞ0	内	アジルバ錠１０ｍｇ(PTP1錠)		武田薬品	茶	93.8	78.7	403.5	0	錠	37848.3	31755.45	6092.85	武田薬品	2149048F3025	4987123153263;
52149048F10201	ｱｼﾞﾙﾊﾞｼﾞ0	内	アジルバ錠２０ｍｇ(PTP1錠)		武田薬品	茶	140.2	117.64	314	0	錠	44022.8	36938.96	7083.84	武田薬品	2149048F1022	4987123152228;
52149048F20201	ｱｼﾞﾙﾊﾞｼﾞ0	内	アジルバ錠４０ｍｇ(PTP1錠)		武田薬品	茶	210.2	176.38	228	0	錠	47925.6	40214.64	7710.96	武田薬品	2149048F2029	4987123153317;
62655710Q10301	ｱｽﾀｯﾄｴｷ	外	アスタット外用液１％(本10mL)		マルホ	外用下､10ml/本	26.3	26.3	20	0	mL	526	526	0	マルホ	2655710Q1036	4987213109040;
62655710N10301	ｱｽﾀｯﾄｸﾘ	外	アスタットクリーム１％(ﾁｭｰﾌﾞ10ｇ)		マルホ	外用下袋､10g/本	26.3	26.3	40	0	ｇ	1052	1052	0	マルホ	2655710N1030	4987213109019;
62260700F10201	ｱｽﾞﾉｰﾙｳ	外	アズノールうがい液４％(本5mL)		ロートニッテン	外用下､5ml/本	32.4	24.48	60	0	mL	1944	1468.8	475.2	日本新薬	2260700F1021	4987173015818;
62260700F10202	ｱｽﾞﾉｰﾙｳ	外	アズノールうがい液４％(本10mL)		ロートニッテン	外用茶､10ml/本	32.4	24.43	100	0	mL	3240	2443	797	日本新薬	2260700F1021	4987173017294;
62649716M10401	ｱｽﾞﾉｰﾙﾅ	外	アズノール軟膏０．０３３％(ﾁｭｰﾌﾞ20ｇ)		日本新薬	外用下､20g/本	2.52	1.905	240	0	ｇ	604.8	457.2	147.6	日本新薬	2649716M1042	4987173016365;
53229005F10801	ｱｽﾊﾟﾗｶﾘ30	内	アスパラカリウム錠３００ｍｇ(PTP1錠)		ニプロＥＳファーマ	茶､PTP/バラ	5.9	5.9	21	0	錠	123.9	123.9	0	ニプロＥＳファーマ	3229005F1080	4987813704904;
53229005B10347	ｱｽﾊﾟﾗｶﾘｻ	内	アスパラカリウム散５０％(ﾊﾞﾗ1ｇ)		ニプロＥＳファーマ	散剤下	6.5	4.9987	383.1	0	ｇ	2490.15	1915.002	575.148	ニプロＥＳファーマ	3229005B1038	4987813704898;
53214001F10201	ｱｽﾊﾟﾗｼｰ	内	アスパラ－ＣＡ錠２００(PTP1錠)		ニプロＥＳファーマ	茶	5.7	4.3992	629	0	錠	3585.3	2767.0968	818.2032	ニプロＥＳファーマ	3214001F1020	4987813704867;
51143001X12047	ｱｽﾋﾟﾘﾝ	内	アスピリン「ヨシダ」(ﾊﾞﾗ1ｇ)		吉田製薬	散剤２	3.56	5.7939	68.5	0	ｇ	243.86	396.8822	-153.0222	吉田製薬	1143001X1201	4987288300205;
52129004M20203	ｱｽﾍﾟﾉﾝｶ02	内	アスペノンカプセル２０　２０ｍｇ(PTP1Ｃ)		バイエル薬品	下劇袋	45.8	45.8	16	0	Ｃ	732.8	732.8	0	バイエル薬品	2129004M2022	4987341104658;
52249003F10301	ｱｽﾍﾞﾘﾝ01	内	アスベリン錠１０　１０ｍｇ(PTP1錠)		ニプロＥＳファーマ	下	9.8	7.5983	117	0	錠	1146.6	889.0011	257.5989	ニプロＥＳファーマ	2249003F1039	4987813705017;
52249003F20201	ｱｽﾍﾞﾘﾝ02	内	アスベリン錠２０　２０ｍｇ(PTP1錠)		ニプロＥＳファーマ	下	9.8	8.6	0	0	錠	0	0	0	ニプロＥＳファーマ	2249003F2027	4987813705048;
52249003B10347	ｱｽﾍﾞﾘﾝｻ	内	アスベリン散１０％(ﾊﾞﾗ1ｇ)		ニプロＥＳファーマ	散剤２	8.4	8.3333	96.7	0	ｇ	812.28	805.8301	6.4499	ニプロＥＳファーマ	2249003B1037	4987813704997;
52249003R10447	ｱｽﾍﾞﾘﾝﾄ	内	アスベリンドライシロップ２％(ﾊﾞﾗ1ｇ)		ニプロＥＳファーマ	散剤	6.5	4.9986	331.9	0	ｇ	2157.35	1659.0353	498.3147	ニプロＥＳファーマ	2249003R1043	4987813705093;
52149043F11301	ｱｾﾞﾙﾆｼﾞ08	内	アゼルニジピン錠８ｍｇ「日医工」(PTP1錠)		日医工	茶	10.1	7.96	158.5	0	錠	1600.85	1261.66	339.19	日医工	2149043F1135	4987376043212;
52149043F21301	ｱｾﾞﾙﾆｼﾞ16	内	アゼルニジピン錠１６ｍｇ「日医工」(PTP1錠)		日医工	下	14.7	11.91	183	0	錠	2690.1	2179.53	510.57	日医工	2149043F2131	4987376043311;
52139008F20501	ｱｿﾞｾﾐﾄﾞ03	内	アゾセミド錠３０ｍｇ「ＤＳＥＰ」(PTP1錠)		第一三共エスファ	茶	10.1	8.31	322	0	錠	3252.2	2675.82	576.38	第一三共	2139008F2052	4987081185283;
61319821Q10201	ｱｿﾞﾙｶﾞﾊｲ	外	アゾルガ配合懸濁性点眼液(本5mL)		ノバルティスファーマ	茶点眼､5ml/本	331.8	274.7	5	0	mL	1659	1373.5	285.5	ノバルティスファーマ	1319821Q1027	4987443374577;
52171014G30201	ｱﾀﾞﾗｰﾄｼ01	内	アダラートＣＲ錠１０ｍｇ(PTP1錠)		バイエル薬品	茶劇	11	8.22	209	0	錠	2299	1717.98	581.02	バイエル薬品	2171014G3022	4987341102616;
52171014G40201	ｱﾀﾞﾗｰﾄｼ02	内	アダラートＣＲ錠２０ｍｇ(PTP1錠)		バイエル薬品	茶劇	18.6	14.636	716	0	錠	13317.6	10479.376	2838.224	バイエル薬品	2171014G4029	4987341103774;4987341103781;
52171014G50201	ｱﾀﾞﾗｰﾄｼ04	内	アダラートＣＲ錠４０ｍｇ(PTP1錠)		バイエル薬品	茶劇､PTP/ﾊﾞﾗ	35.7	26.53	131	0	錠	4676.7	3475.43	1201.27	バイエル薬品	2171014G5025	4987341107840;
51179005F10501	ｱﾀﾗｯｸｽ01	内	アタラックス錠１０ｍｇ(PTP1錠)		ファイザー	茶	5.9	4.56	94	0	錠	554.6	428.64	125.96	ファイザー	1179005F1053	4987114347008;
51179019M10401	ｱﾀﾗｯｸｽｶ02	内	アタラックス－Ｐカプセル２５ｍｇ(PTP1Ｃ)		ファイザー	下	5.9	4.62	135	0	Ｃ	796.5	623.7	172.8	ファイザー	1179019M1046	4987114347107;
51179019R10347	ｱﾀﾗｯｸｽﾄ	内	アタラックス－Ｐドライシロップ２．５％(ﾊﾞﾗ1ｇ)		ファイザー	散剤下	9.4	0	0	0	ｇ	0	0	0	ファイザー	1179019R1035	4987114347602;
52123011F12501	ｱﾃﾉﾛｰﾙ02	内	アテノロール錠２５ｍｇ「タイヨー」(PTP1錠)		武田テバファーマ	茶	5.9	5.11	72	0	錠	424.8	367.92	56.88	武田薬品	2123011F1252	4987123404464;
52123011F25401	ｱﾃﾉﾛｰﾙ05	内	アテノロール錠５０ｍｇ「サワイ」(PTP1錠)		沢井製薬	新規薬	5.9	4.2	100	0	錠	590	420	170	沢井製薬	2123011F2542	4987080001218;
52123011F25701	ｱﾃﾉﾛｰﾙ05	内	アテノロール錠５０ｍｇ「ファイザー」(PTP1錠)		ファイザー	下	5.9	4.2692	0	0	錠	0	0	0	ファイザー	2123011F2577	4987114803603;
53992001F10801	ｱﾃﾞﾎｽｺｰ02	内	アデホスコーワ腸溶錠２０　２０ｍｇ(PTP1錠)		興和	茶	5.7	4.38	666	0	錠	3796.2	2917.08	879.12	興和	3992001F1084	4987770504609;
53992001D10503	ｱﾃﾞﾎｽｺｶ	内	アデホスコーワ顆粒１０％(分包1ｇ)		興和	分包棚5-3	19.9	15.0433	711	0	ｇ	14148.9	10695.7863	3453.1137	興和	3992001D1059	4987770528803;
52149037F20302	ｱﾃﾚｯｸｼﾞ01	内	アテレック錠１０　１０ｍｇ(PTP1錠)		ＥＡファーマ	茶	35.2	26.49	152	0	錠	5350.4	4026.48	1323.92	持田製薬	2149037F2039	4987224003207;
52149037F20347	ｱﾃﾚｯｸｼﾞ01	内	アテレック錠１０　１０ｍｇ(ﾊﾞﾗ1錠)		ＥＡファーマ	カセット	35.2	49.5	2	0	錠	70.4	99	-28.6	持田製薬	2149037F2039	4987224003245;
62290800G40301	ｱﾄﾞｴｱ106	外	アドエア１００ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ	吸入	6348.7	5403	0	0	ｷｯﾄ	0	0	0	グラクソ・スミスクラ	2290800G4031	4987246745208;
62290800G50301	ｱﾄﾞｴｱ256	外	アドエア２５０ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ	吸入	7301.5	6338	3	0	ｷｯﾄ	21904.5	19014	2890.5	グラクソ・スミスクラ	2290800G5038	4987246745222;
62290800G60301	ｱﾄﾞｴｱ506	外	アドエア５００ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ		8274	7181	1	0	ｷｯﾄ	8274	7181	1093	グラクソ・スミスクラ	2290800G6034	4987246745246;
52189101F10203	ｱﾄｰｾﾞｯﾄｴﾙ	内	アトーゼット配合錠ＬＤ(PTP1錠)		オルガノン	下	149.7	149.7	148	0	錠	22155.6	22155.6	0	オルガノン	2189101F1020	4987954810120;
52190030F10201	ｱﾄﾞｼﾙｶ02	内	アドシルカ錠２０ｍｇ(PTP1錠)		日本新薬	不動在庫	1270.4	1270.4	27	0	錠	34300.8	34300.8	0	日本新薬	2190030F1029	4987173018192;
52343002X10547	ｱﾄﾞｿﾙﾋﾞ	内	アドソルビン原末(ﾊﾞﾗ1ｇ)		アルフレッサファーマ	散剤下	0.85	0.8993	389.2	0	ｇ	330.82	350.0076	-19.1876	アルフレッサファーマ	2343002X1058	4987274129957;
53321002F10901	ｱﾄﾞﾅｼ01	内	アドナ錠１０ｍｇ(PTP1錠)		ニプロＥＳファーマ	下	5.9	5.8977	88	0	錠	519.2	518.9976	0.2024	ニプロＥＳファーマ	3321002F1092	4987813702795;
53321002F23601	ｱﾄﾞﾅｼ03	内	アドナ錠３０ｍｇ(PTP1錠)		ニプロＥＳファーマ	茶	9	6.89	162	0	錠	1458	1116.18	341.82	ニプロＥＳファーマ	3321002F2366	4987813702825;
62649732S11301	ｱﾄﾞﾌｨｰﾄﾊﾟ	外	アドフィードパップ４０ｍｇ　１０ｃｍ×１４ｃｍ(枚6枚)		リードケミカル	不動在庫､6枚/袋	17.1	17	60	0	枚	1026	1020	6	科研製薬	2649732S1130	4987042342014;
51179050F20501	ｱﾄﾓｷｾﾁﾝｼﾞ	内	アトモキセチン錠１０ｍｇ「ニプロ」(PTP1錠)		ニプロ	下劇	76.8	71.5714	28	0	錠	2150.4	2003.9992	146.4008	ニプロ	1179050F2055	4987190092700;4987190092731;
52189015F11001	ｱﾄﾙﾊﾞｽﾀ05	内	アトルバスタチン錠５ｍｇ「ＺＥ」(PTP1錠)		全星薬品	茶	10.6	8.54	333	0	錠	3529.8	2843.82	685.98	全星薬品	2189015F1104	4987104051014;4987104051021;
52189015F21001	ｱﾄﾙﾊﾞｽﾀ10	内	アトルバスタチン錠１０ｍｇ「ＺＥ」(PTP1錠)		全星薬品	茶､PTP/ﾊﾞﾗ	20.7	16.44	447	0	錠	9252.9	7348.68	1904.22	全星薬品	2189015F2100	4987104051113;4987104051137;
61311706Q20201	ｱﾄﾛﾋﾟﾝﾃ	外	日点アトロピン点眼液１％　５ｍＬ(瓶1瓶)		ロートニッテン	下劇点眼､5ml/本	296.6	296	1	0	瓶	296.6	296	0.6	ロートニッテン	1311706Q2022	4987421121223;
54291010F10901	ｱﾅｽﾄﾛｿﾞ01	内	アナストロゾール錠１ｍｇ「ＮＫ」(PTP1錠)		日本化薬	抗癌剤（１）	88.7	59.7	97	0	錠	8603.9	5790.9	2813	日本化薬	4291010F1090	4987170008295;
51174002F10202	ｱﾅﾌﾗﾆｰﾙ01	内	アナフラニール錠１０ｍｇ(PTP1錠)		アルフレッサファーマ	下	9.6	6.7978	71	0	錠	681.6	482.6438	198.9562	アルフレッサファーマ	1174002F1029	4987274044656;
51174002F20202	ｱﾅﾌﾗﾆｰﾙ02	内	アナフラニール錠２５ｍｇ(PTP1錠)		アルフレッサファーマ	下	15.7	13.345	195	0	錠	3061.5	2602.275	459.225	アルフレッサファーマ	1174002F2025	4987274044687;
62290705G10201	ｱﾆｭｲﾃｨ10	外	アニュイティ１００μｇエリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ	吸入	1593	1593	3	0	ｷｯﾄ	4779	4779	0	グラクソ・スミスクラ	2290705G1029	4987246780025;
62259806G20201	ｱﾉｰﾛｴﾘﾌ30	外	アノーロエリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ	吸入	6667.8	6668	5	0	ｷｯﾄ	33339	33340	-1	グラクソ・スミスクラ	2259806G2028	4987246770033;
52149046F10201	ｱﾊﾞﾌﾟﾛ05	内	アバプロ錠５０ｍｇ(PTP1錠)		住友ファーマ	下	39.7	30.0714	28	0	錠	1111.6	841.9992	269.6008	住友ファーマ	2149046F1023	4987116140003;
72492418G10201	ｱﾋﾟﾄﾞﾗﾁｭｿ	注	アピドラ注ソロスター　３００単位(ｷｯﾄ1ｷｯﾄ)		サノフィ		1792	0	0	0	ｷｯﾄ	0	0	0	サノフィ	2492418G1027	4987199102677;
54291023F10201	ｱﾌｨﾆﾄｰﾙｼﾞ	内	アフィニトール錠５ｍｇ(PTP1錠)		ノバルティスファーマ	抗癌剤（１）	10215.5	9365.2727	22	0	錠	224741	206035.9994	18705.0006	ノバルティスファーマ	4291023F1020	4987443333949;
52499011M10201	ｱﾎﾞﾙﾌﾞ	内	アボルブカプセル０．５ｍｇ(PTP1Ｃ)		グラクソ・スミスクラ	茶劇	116.2	93.0444	87	0	Ｃ	10109.4	8094.8628	2014.5372	グラクソ・スミスクラ	2499011M1027	4987246754019;4987246754026;
53961008F30201	ｱﾏﾘｰﾙ00	内	アマリール０．５ｍｇ錠(PTP1錠)		サノフィ	茶劇	10.1	7.66	55.5	0	錠	560.55	425.13	135.42	サノフィ	3961008F3023	4987199100550;
52190104F11201	ｱﾏﾙｴｯﾄﾊ4	内	アマルエット配合錠４番「ニプロ」(PTP1錠)		ニプロ	茶劇	27.9	20.68	195	0	錠	5440.5	4032.6	1407.9	ニプロ	2190104F1121	4987190066909;
52129010F10301	ｱﾐｵﾀﾞﾛﾝ10	内	アミオダロン塩酸塩錠１００ｍｇ「サワイ」(PTP1錠)		沢井製薬	毒薬	98	76.3	92	0	錠	9016	7019.6	1996.4	沢井製薬	2129010F1030	4987080574118;
52359006M20201	ｱﾐﾃｨｰｻﾞｶ0	内	アミティーザカプセル１２μｇ(PTP1Ｃ)		マイランＥＰＤ	下	55.4	45.35	207	0	Ｃ	11467.8	9387.45	2080.35	マイランＥＰＤ	2359006M2021	4987901110006;
52359006M10201	ｱﾐﾃｨｰｻﾞｶ0	内	アミティーザカプセル２４μｇ(PTP1Ｃ)		マイランＥＰＤ	茶	110.2	90.22	337	0	Ｃ	37137.4	30404.14	6733.26	マイランＥＰＤ	2359006M1025	4987888172103;4987901110204;
53253003D11001	ｱﾐﾉﾊﾞｸﾄ	内	アミノバクト配合顆粒　４．７４ｇ(分包1包)		日医工	湿布棚横	63	53.3967	242	0	包	15246	12922.0014	2323.9986	日医工	3253003D1108	4987376043021;4987376043038;
53259108B10301	ｱﾐﾉﾚﾊﾞﾝｲ	内	アミノレバンＥＮ配合散(分包50ｇ)		大塚製薬	湿布棚横	7.6	7.4	650	0	ｇ	4940	4810	130	大塚製薬	3259108B1039	4987035021001;4987035583226;4987035583325;
52149114F12201	ｱﾑﾊﾞﾛﾊ	内	アムバロ配合錠「日医工」(PTP1錠)		日医工	茶劇	14.8	13	176	0	錠	2604.8	2288	316.8	日医工	2149114F1226	4987376336017;
52171022F14603	ｱﾑﾛｼﾞﾋﾟ02	内	アムロジピン錠２．５ｍｇ「ファイザー」(PTP1錠)		ファイザーＵＰＪ		10.1	7.02	235	0	錠	2373.5	1649.7	723.8	ヴィアトリス製薬	2171022F1460	4987901012904;4987901013000;
52171022F24603	ｱﾑﾛｼﾞﾋﾟ05	内	アムロジピン錠５ｍｇ「ファイザー」(PTP1錠)		ファイザーＵＰＪ	茶劇	10.1	7.18	217	0	錠	2191.7	1558.06	633.64	ヴィアトリス製薬	2171022F2467	4987901013307;4987901013406;
52171022F51101	ｱﾑﾛｼﾞﾋﾟ10	内	アムロジピン錠１０ｍｇ「ＮＳ」(PTP1錠)		日新製薬－山形		18.7	0	0	0	錠	0	0	0	日新製薬－山形	2171022F5113	4987447570012;
52171022F51147	ｱﾑﾛｼﾞﾋﾟ10	内	アムロジピン錠１０ｍｇ「ＮＳ」(ﾊﾞﾗ1錠)		日新製薬－山形		18.7	0	0	0	錠	0	0	0	日新製薬－山形	2171022F5113	4987447570050;
52171022F33301	ｱﾑﾛｼﾞﾋﾟｵ0	内	アムロジピンＯＤ錠２．５ｍｇ「杏林」(PTP1錠)		キョーリンリメディオ	茶劇､PTP/ﾊﾞﾗ	10.1	5.5	625	0	錠	6312.5	3437.5	2875	杏林製薬	2171022F3331	4987060306456;4987060306463;
52171022F43301	ｱﾑﾛｼﾞﾋﾟｵ0	内	アムロジピンＯＤ錠５ｍｇ「杏林」(PTP1錠)		キョーリンリメディオ	茶劇	10.8	8.5	698	0	錠	7538.4	5933	1605.4	杏林製薬	2171022F4338	4987060306487;4987060306494;
52171022F43347	ｱﾑﾛｼﾞﾋﾟｵ0	内	アムロジピンＯＤ錠５ｍｇ「杏林」(ﾊﾞﾗ1錠)		キョーリンリメディオ	カセット､ﾊﾞﾗ	10.8	8.5	814	0	錠	8791.2	6919	1872.2	杏林製薬	2171022F4338	4987060306500;
52171022F62202	ｱﾑﾛｼﾞﾋﾟｵ1	内	アムロジピンＯＤ錠１０ｍｇ「ケミファ」(PTP1錠)		日本薬品工業	茶劇	18.7	14.3	286	0	錠	5348.2	4089.8	1258.4	日本薬品工業	2171022F6225	4987440559014;
52171022F30201	ｱﾑﾛｼﾞﾝｵ02	内	アムロジンＯＤ錠２．５ｍｇ(PTP1錠)		住友ファーマ	茶劇	17.2	12.82	133	0	錠	2287.6	1705.06	582.54	住友ファーマ	2171022F3021	4987116155014;4987116155113;4987116155212;
52171022F60201	ｱﾑﾛｼﾞﾝｵ10	内	アムロジンＯＤ錠１０ｍｇ(PTP1錠)		住友ファーマ	茶劇	34.4	25.62	124	0	錠	4265.6	3176.88	1088.72	住友ファーマ	2171022F6020	4987116155052;4987116155076;
52171022F20401	ｱﾑﾛｼﾞﾝｼ05	内	アムロジン錠５ｍｇ(PTP1錠)		住友ファーマ	茶劇	21.4	15.95	72	0	錠	1540.8	1148.4	392.4	住友ファーマ	2171022F2041	4987116156585;4987116156608;4987116156622;
56250046F10201	ｱﾒﾅﾘｰﾌ02	内	アメナリーフ錠２００ｍｇ(PTP1錠)		マルホ	下	1272.1	0	0	0	錠	0	0	0	マルホ	6250046F1028	4987213110206;
56131001M23501	ｱﾓｷｼｼﾘﾝ25	内	アモキシシリンカプセル２５０ｍｇ「ＴＣＫ」(PTP1Ｃ)		辰巳化学	下	10.1	8.7	145	0	Ｃ	1464.5	1261.5	203	辰巳化学	6131001M2351	4987124270525;
51129007F10204	ｱﾓﾊﾞﾝｼﾞ07	内	アモバン錠７．５　７．５ｍｇ(PTP1錠)		サノフィ	茶向３０	13.6	13.6	255	0	錠	3468	3468	0	日医工	1129007F1026	4987376553216;
66250700M11802	ｱﾗｾﾅｴﾅ	外	アラセナ－Ａ軟膏３％(ﾁｭｰﾌﾞ5ｇ)		持田製薬	外用下､5g	186.1	146.88	40	0	ｇ	7444	5875.2	1568.8	持田製薬	6250700M1189	4987224004723;4987224004730;4987224004747;
61329711Q20201	ｱﾗﾐｽﾄﾃ	外	アラミスト点鼻液２７．５μｇ１２０噴霧用　５ｍｇ１０ｇ(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ	点鼻､120噴霧	3513.8	3514	7	0	ｷｯﾄ	24596.6	24598	-1.4	グラクソ・スミスクラ	1329711Q2028	4987246752039;
61329711Q10201	ｱﾗﾐｽﾄﾃ	外	アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ(ｷｯﾄ1ｷｯﾄ)		グラクソ・スミスクラ	点鼻､56噴霧	1672.5	1673	7	0	ｷｯﾄ	11707.5	11711	-3.5	グラクソ・スミスクラ	1329711Q1021	4987246752015;4987246752022;
51190012F40201	ｱﾘｾﾌﾟﾄﾃ05	内	アリセプトＤ錠５ｍｇ(PTP1錠)		エーザイ	茶劇	143	107.9464	101	0	錠	14443	10902.5864	3540.4136	エーザイ	1190012F4025	4987028211051;4987028211068;
