薬品ｺｰﾄﾞ,ﾖﾐｶﾞﾅ,種,薬品名,規格,メーカー,棚番,薬価,購入価,在庫数,調整量,単位,①薬価金額,②購入金額,①－②,販売会社,厚生省ｺｰﾄﾞ,JAN
62699703M10303,ｱｸﾄｼﾝﾅ,外,アクトシン軟膏３％(ﾁｭｰﾌﾞ200ｇ),"",ニプロファーマ,冷蔵庫ドア,38.1,0,0,0,ｇ,0,0,0,マルホ,2699703M1039,4987213109125;
53969007F10201,ｱｸﾄｽ01,内,アクトス錠１５　１５ｍｇ(PTP1錠),"",武田テバ薬品,茶､PTP／バラ,40.4,31.5979,97,0,錠,3918.8,3064.9963,853.8037,武田薬品,3969007F1024,4987123136273;4987123136280;
54299003M10201,ｱｸﾞﾘﾘﾝｶ05,内,アグリリンカプセル０．５ｍｇ(PTP1Ｃ),"",武田薬品,下劇,788.7,705.3977,88,0,Ｃ,69405.6,62074.9976,7330.6024,武田薬品,4299003M1020,4987123161534;
52399015F10201,ｱｺﾌｧｲﾄﾞｼﾞ,内,アコファイド錠１００ｍｇ(PTP1錠),"",ゼリア新薬,茶､PTP／バラ,34.5,28.2,267,0,錠,9211.5,7529.4,1682.1,ゼリア新薬,2399015F1020,4987103012900;4987103012917;
56219001H10501,ｱｻﾞﾙﾌｨｼ50,内,アザルフィジンＥＮ錠５００ｍｇ(PTP1錠),"",あゆみ製薬,茶,37,28.33,270,0,錠,9990,7649.1,2340.9,あゆみ製薬,6219001H1056,4987896000146;4987896000153;4987896000160;
56250002F12301,ｱｼｸﾛﾋﾞﾙｼﾞ,内,アシクロビル錠２００ｍｇ「サワイ」(PTP1錠),"",沢井製薬,下,24.3,19,96,0,錠,2332.8,1824,508.8,沢井製薬,6250002F1238,4987080626015;
52325005F10301,ｱｼﾉﾝ15,内,アシノン錠１５０ｍｇ(PTP1錠),"",ゼリア新薬,茶､PTP／バラ,21.4,16.68,377,0,錠,8067.8,6288.36,1779.44,ゼリア新薬,2325005F1031,4987103011743;4987103011767;4987103011774;4987103011804;
52149048F30201,ｱｼﾞﾙﾊﾞｼﾞ0,内,アジルバ錠１０ｍｇ(PTP1錠),"",武田薬品,茶,93.8,78.7,399.5,0,錠,37473.1,31440.65,6032.45,武田薬品,2149048F3025,4987123153263;4987123153270;
52149048F10201,ｱｼﾞﾙﾊﾞｼﾞ0,内,アジルバ錠２０ｍｇ(PTP1錠),"",武田薬品,茶,140.2,117.64,143,0,錠,20048.6,16822.52,3226.08,武田薬品,2149048F1022,4987123152228;4987123152235;
52149048F20201,ｱｼﾞﾙﾊﾞｼﾞ0,内,アジルバ錠４０ｍｇ(PTP1錠),"",武田薬品,茶,210.2,176.38,140,0,錠,29428,24693.2,4734.8,武田薬品,2149048F2029,4987123153317;4987123153324;
62655710Q10301,ｱｽﾀｯﾄｴｷ,外,アスタット外用液１％(本10mL),"",マルホ,外用下,26.3,26.3,20,0,mL,526,526,0,マルホ,2655710Q1036,4987213109040;4987213109057;
62655710N10301,ｱｽﾀｯﾄｸﾘ,外,アスタットクリーム１％(ﾁｭｰﾌﾞ10ｇ),"",マルホ,外用下袋,26.3,26.3,40,0,ｇ,1052,1052,0,マルホ,2655710N1030,4987213109019;4987213109026;4987213109033;
62260700F10201,ｱｽﾞﾉｰﾙｳ,外,アズノールうがい液４％(本5mL),"",ロートニッテン,外用下､5ml/本,32.4,26.2,60,0,mL,1944,1572,372,日本新薬,2260700F1021,4987173015818;4987173015825;
62260700F10202,ｱｽﾞﾉｰﾙｳ,外,アズノールうがい液４％(本10mL),"",ロートニッテン,外用茶､10ml/本,32.4,26.28,140,0,mL,4536,3679.2,856.8,日本新薬,2260700F1021,4987173017294;
62649716M10401,ｱｽﾞﾉｰﾙﾅ,外,アズノール軟膏０．０３３％(ﾁｭｰﾌﾞ20ｇ),"",日本新薬,外用下､20g,2.52,2.07,240,0,ｇ,604.8,496.8,108,日本新薬,2649716M1042,4987173016365;
53229005F10801,ｱｽﾊﾟﾗｶﾘ30,内,アスパラカリウム錠３００ｍｇ(PTP1錠),"",ニプロＥＳファーマ,茶､PTP/バラ,5.9,5.9,73,0,錠,430.7,430.7,0,ニプロＥＳファーマ,3229005F1080,4987813704904;
53229005B10347,ｱｽﾊﾟﾗｶﾘｻ,内,アスパラカリウム散５０％(ﾊﾞﾗ1ｇ),"",ニプロＥＳファーマ,散剤下,6.5,4.9987,383.1,0,ｇ,2490.15,1915.002,575.148,ニプロＥＳファーマ,3229005B1038,4987813704898;
53214001F10201,ｱｽﾊﾟﾗｼｰ,内,アスパラ－ＣＡ錠２００(PTP1錠),"",ニプロＥＳファーマ,茶,5.7,4.3992,685,0,錠,3904.5,3013.452,891.048,ニプロＥＳファーマ,3214001F1020,4987813704867;4987813704874;
51143001X12047,ｱｽﾋﾟﾘﾝ,内,アスピリン「ヨシダ」(ﾊﾞﾗ1ｇ),"",吉田製薬,散剤２,3.56,5.7939,82.5,0,ｇ,293.7,477.9968,-184.2968,吉田製薬,1143001X1201,4987288300205;
52129004M20203,ｱｽﾍﾟﾉﾝｶ02,内,アスペノンカプセル２０　２０ｍｇ(PTP1Ｃ),"",バイエル薬品,下劇袋,45.8,45.8,16,0,Ｃ,732.8,732.8,0,バイエル薬品,2129004M2022,4987341104658;
52249003F10301,ｱｽﾍﾞﾘﾝ01,内,アスベリン錠１０　１０ｍｇ(PTP1錠),"",ニプロＥＳファーマ,下,9.8,7.5983,117,0,錠,1146.6,889.0011,257.5989,ニプロＥＳファーマ,2249003F1039,4987813705017;
52249003F20201,ｱｽﾍﾞﾘﾝ02,内,アスベリン錠２０　２０ｍｇ(PTP1錠),"",ニプロＥＳファーマ,下,9.8,8.6,5,0,錠,49,43,6,ニプロＥＳファーマ,2249003F2027,4987813705048;
52249003B10347,ｱｽﾍﾞﾘﾝｻ,内,アスベリン散１０％(ﾊﾞﾗ1ｇ),"",ニプロＥＳファーマ,散剤２,8.4,6.7164,106.7,0,ｇ,896.28,716.6399,179.6401,ニプロＥＳファーマ,2249003B1037,4987813704997;4987813705000;
52249003R10447,ｱｽﾍﾞﾘﾝﾄ,内,アスベリンドライシロップ２％(ﾊﾞﾗ1ｇ),"",ニプロＥＳファーマ,散剤,6.5,4.9986,331.9,0,ｇ,2157.35,1659.0353,498.3147,ニプロＥＳファーマ,2249003R1043,4987813705093;
52149043F11301,ｱｾﾞﾙﾆｼﾞ08,内,アゼルニジピン錠８ｍｇ「日医工」(PTP1錠),"",日医工,茶,10.1,7.96,243.5,0,錠,2459.35,1938.26,521.09,日医工,2149043F1135,4987376043212;
52149043F21301,ｱｾﾞﾙﾆｼﾞ16,内,アゼルニジピン錠１６ｍｇ「日医工」(PTP1錠),"",日医工,下,14.7,12.61,153,0,錠,2249.1,1929.33,319.77,日医工,2149043F2131,4987376043311;4987376043335;
52139008F20501,ｱｿﾞｾﾐﾄﾞ03,内,アゾセミド錠３０ｍｇ「ＤＳＥＰ」(PTP1錠),"",第一三共エスファ,茶,10.1,9.01,70,0,錠,707,630.7,76.3,第一三共,2139008F2052,4987081185283;4987081185306;4987081185320;
61319821Q10201,ｱｿﾞﾙｶﾞﾊｲ,外,アゾルガ配合懸濁性点眼液(本5mL),"",ノバルティスファーマ,茶点眼,331.8,274.7,25,0,mL,8295,6867.5,1427.5,ノバルティスファーマ,1319821Q1027,4987443374577;
52171014G30201,ｱﾀﾞﾗｰﾄｼ01,内,アダラートＣＲ錠１０ｍｇ(PTP1錠),"",バイエル薬品,茶劇,11,8.95,77,0,錠,847,689.15,157.85,バイエル薬品,2171014G3022,4987341102616;4987341102623;
52171014G40201,ｱﾀﾞﾗｰﾄｼ02,内,アダラートＣＲ錠２０ｍｇ(PTP1錠),"",バイエル薬品,茶劇,18.6,15.382,774,0,錠,14396.4,11905.668,2490.732,バイエル薬品,2171014G4029,4987341103774;4987341103781;
52171014G50201,ｱﾀﾞﾗｰﾄｼ04,内,アダラートＣＲ錠４０ｍｇ(PTP1錠),"",バイエル薬品,茶劇､PTP／バラ,35.7,35.7,73,0,錠,2606.1,2606.1,0,バイエル薬品,2171014G5025,4987341107840;4987341107857;
51179005F10501,ｱﾀﾗｯｸｽ01,内,アタラックス錠１０ｍｇ(PTP1錠),"",ファイザー,茶,5.9,4.6935,6,0,錠,35.4,28.161,7.239,ファイザー,1179005F1053,4987114347008;
51179019M10401,ｱﾀﾗｯｸｽｶ02,内,アタラックス－Ｐカプセル２５ｍｇ(PTP1Ｃ),"",ファイザー,下,5.9,4.62,133,0,Ｃ,784.7,614.46,170.24,ファイザー,1179019M1046,4987114347107;
51179019R10347,ｱﾀﾗｯｸｽﾄ,内,アタラックス－Ｐドライシロップ２．５％(ﾊﾞﾗ1ｇ),"",ファイザー,散剤下,9.4,0,0,0,ｇ,0,0,0,ファイザー,1179019R1035,4987114347602;
52123011F12801,ｱﾃﾉﾛｰﾙ02,内,アテノロール錠２５ｍｇ「サワイ」(PTP1錠),"",沢井製薬,"",5.9,4.6,0,0,錠,0,0,0,沢井製薬,2123011F1287,4987080001119;4987080001126;
52123011F12501,ｱﾃﾉﾛｰﾙ02,内,アテノロール錠２５ｍｇ「タイヨー」(PTP1錠),"",武田テバファーマ,茶,5.9,5.11,210,0,錠,1239,1073.1,165.9,武田薬品,2123011F1252,4987123404464;
52123011F25401,ｱﾃﾉﾛｰﾙ05,内,アテノロール錠５０ｍｇ「サワイ」(PTP1錠),"",沢井製薬,新規薬,5.9,4.2,100,0,錠,590,420,170,沢井製薬,2123011F2542,4987080001218;4987080001232;
52123011F25701,ｱﾃﾉﾛｰﾙ05,内,アテノロール錠５０ｍｇ「ファイザー」(PTP1錠),"",ファイザー,下,5.9,4.2692,26,0,錠,153.4,110.9992,42.4008,ファイザー,2123011F2577,4987114803603;4987114803702;4987114803801;
53992001D10503,ｱﾃﾞﾎｽｺｶ,内,アデホスコーワ顆粒１０％(分包1ｇ),"",興和,分包棚5-3,19.9,17.0993,364,0,ｇ,7243.6,6224.1452,1019.4548,興和,3992001D1059,4987770528803;4987770529107;4987770529305;
52149037F20302,ｱﾃﾚｯｸｼﾞ01,内,アテレック錠１０　１０ｍｇ(PTP1錠),"",ＥＡファーマ,茶,35.2,27.6905,42,0,錠,1478.4,1163.001,315.399,持田製薬,2149037F2039,4987224003207;4987224003238;4987224003269;
52149037F20347,ｱﾃﾚｯｸｼﾞ01,内,アテレック錠１０　１０ｍｇ(ﾊﾞﾗ1錠),"",ＥＡファーマ,カセット,35.2,49.5,2,0,錠,70.4,99,-28.6,持田製薬,2149037F2039,4987224003245;
62290800G40301,ｱﾄﾞｴｱ106,外,アドエア１００ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,吸入,6348.7,5511,0,0,ｷｯﾄ,0,0,0,グラクソ・スミスクラ,2290800G4031,4987246745208;
62290800G50301,ｱﾄﾞｴｱ256,外,アドエア２５０ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,吸入,7301.5,6338,2,0,ｷｯﾄ,14603,12676,1927,グラクソ・スミスクラ,2290800G5038,4987246745222;
62290800G60301,ｱﾄﾞｴｱ506,外,アドエア５００ディスカス６０吸入用　６０ブリスター(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,"",8274,7181,0,0,ｷｯﾄ,0,0,0,グラクソ・スミスクラ,2290800G6034,4987246745246;
52189101F10203,ｱﾄｰｾﾞｯﾄｴﾙ,内,アトーゼット配合錠ＬＤ(PTP1錠),"",オルガノン,下,149.7,149.7,61,0,錠,9131.7,9131.7,0,オルガノン,2189101F1020,4987954810120;
52190030F10201,ｱﾄﾞｼﾙｶ02,内,アドシルカ錠２０ｍｇ(PTP1錠),"",日本新薬,不動在庫,1270.4,1081.193,57,0,錠,72412.8,61628.001,10784.799,日本新薬,2190030F1029,4987173018192;
52343002X10547,ｱﾄﾞｿﾙﾋﾞ,内,アドソルビン原末(ﾊﾞﾗ1ｇ),"",アルフレッサファーマ,散剤下,0.85,0.8993,389.2,0,ｇ,330.82,350.0076,-19.1876,アルフレッサファーマ,2343002X1058,4987274129957;
53321002F10901,ｱﾄﾞﾅｼ01,内,アドナ錠１０ｍｇ(PTP1錠),"",ニプロＥＳファーマ,下,5.9,5.8977,88,0,錠,519.2,518.9976,0.2024,ニプロＥＳファーマ,3321002F1092,4987813702795;4987813702801;
53321002F23601,ｱﾄﾞﾅｼ03,内,アドナ錠３０ｍｇ(PTP1錠),"",ニプロＥＳファーマ,茶,9,7.0952,115,0,錠,1035,815.948,219.052,ニプロＥＳファーマ,3321002F2366,4987813702825;4987813702832;
62649732S11301,ｱﾄﾞﾌｨｰﾄﾊﾟ,外,アドフィードパップ４０ｍｇ　１０ｃｍ×１４ｃｍ(枚6枚),"",リードケミカル,"",17.1,17,60,0,枚,1026,1020,6,科研製薬,2649732S1130,4987042342014;4987042342052;4987042342120;
51179050F20501,ｱﾄﾓｷｾﾁﾝｼﾞ,内,アトモキセチン錠１０ｍｇ「ニプロ」(PTP1錠),"",ニプロ,下劇,76.8,71.5714,28,0,錠,2150.4,2003.9992,146.4008,ニプロ,1179050F2055,4987190092700;4987190092731;
52189015F11001,ｱﾄﾙﾊﾞｽﾀ05,内,アトルバスタチン錠５ｍｇ「ＺＥ」(PTP1錠),"",全星薬品,茶,10.6,8.54,183,0,錠,1939.8,1562.82,376.98,全星薬品,2189015F1104,4987104051014;4987104051021;
52189015F21001,ｱﾄﾙﾊﾞｽﾀ10,内,アトルバスタチン錠１０ｍｇ「ＺＥ」(PTP1錠),"",全星薬品,茶､PTP/バラ,20.7,16.44,415,0,錠,8590.5,6822.6,1767.9,全星薬品,2189015F2100,4987104051113;4987104051137;
61311706Q20201,ｱﾄﾛﾋﾟﾝﾃ,外,日点アトロピン点眼液１％　５ｍＬ(瓶1瓶),"",ロートニッテン,"",296.6,296,0,0,瓶,0,0,0,ロートニッテン,1311706Q2022,4987421121223;
54291010F10901,ｱﾅｽﾄﾛｿﾞ01,内,アナストロゾール錠１ｍｇ「ＮＫ」(PTP1錠),"",日本化薬,抗癌剤（１）,88.7,29.5667,7,0,錠,620.9,206.9669,413.9331,日本化薬,4291010F1090,4987170008295;
51174002F10202,ｱﾅﾌﾗﾆｰﾙ01,内,アナフラニール錠１０ｍｇ(PTP1錠),"",アルフレッサファーマ,下,9.6,6.7978,71,0,錠,681.6,482.6438,198.9562,アルフレッサファーマ,1174002F1029,4987274044656;4987274044663;
51174002F20202,ｱﾅﾌﾗﾆｰﾙ02,内,アナフラニール錠２５ｍｇ(PTP1錠),"",アルフレッサファーマ,下,15.7,13.76,155,0,錠,2433.5,2132.8,300.7,アルフレッサファーマ,1174002F2025,4987274044687;4987274044694;
62290705G10201,ｱﾆｭｲﾃｨ10,外,アニュイティ１００μｇエリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,吸入,1593,1364,0,0,ｷｯﾄ,0,0,0,グラクソ・スミスクラ,2290705G1029,4987246780025;
62259806G20201,ｱﾉｰﾛｴﾘﾌ30,外,アノーロエリプタ３０吸入用(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,吸入,6667.8,6667,1,0,ｷｯﾄ,6667.8,6667,0.8,グラクソ・スミスクラ,2259806G2028,4987246770033;
52149046F10201,ｱﾊﾞﾌﾟﾛ05,内,アバプロ錠５０ｍｇ(PTP1錠),"",住友ファーマ,下,39.7,30.0714,28,0,錠,1111.6,841.9992,269.6008,住友ファーマ,2149046F1023,4987116140003;4987116140027;
72492418G10201,ｱﾋﾟﾄﾞﾗﾁｭｿ,注,アピドラ注ソロスター　３００単位(ｷｯﾄ1ｷｯﾄ),"",サノフィ,"",1792,0,0,0,ｷｯﾄ,0,0,0,サノフィ,2492418G1027,4987199102677;
54291023F10201,ｱﾌｨﾆﾄｰﾙｼﾞ,内,アフィニトール錠５ｍｇ(PTP1錠),"",ノバルティスファーマ,抗癌剤（１）,10215.5,9365.2727,22,0,錠,224741,206035.9994,18705.0006,ノバルティスファーマ,4291023F1020,4987443333949;
52499011M10201,ｱﾎﾞﾙﾌﾞ,内,アボルブカプセル０．５ｍｇ(PTP1Ｃ),"",グラクソ・スミスクラ,茶劇,116.2,95.0972,87,0,Ｃ,10109.4,8273.4564,1835.9436,グラクソ・スミスクラ,2499011M1027,4987246754019;4987246754026;
53961008F30201,ｱﾏﾘｰﾙ00,内,アマリール０．５ｍｇ錠(PTP1錠),"",サノフィ,茶劇,10.1,8.18,81.5,0,錠,823.15,666.67,156.48,サノフィ,3961008F3023,4987199100550;4987199100567;
52190104F10301,ｱﾏﾙｴｯﾄﾊ4,内,アマルエット配合錠４番「ＤＳＥＰ」(PTP1錠),"",第一三共エスファ,茶劇,29.5,25.5,89,0,錠,2625.5,2269.5,356,第一三共,2190104F1032,4987081184491;4987081184507;
52129010F10301,ｱﾐｵﾀﾞﾛﾝ10,内,アミオダロン塩酸塩錠１００ｍｇ「サワイ」(PTP1錠),"",沢井製薬,毒薬,98,76.3,135,0,錠,13230,10300.5,2929.5,沢井製薬,2129010F1030,4987080574118;
52359006M20201,ｱﾐﾃｨｰｻﾞｶ0,内,アミティーザカプセル１２μｇ(PTP1Ｃ),"",マイランＥＰＤ,下,55.4,46.88,81,0,Ｃ,4487.4,3797.28,690.12,マイランＥＰＤ,2359006M2021,4987888140287;4987888140294;
52359006M10201,ｱﾐﾃｨｰｻﾞｶ0,内,アミティーザカプセル２４μｇ(PTP1Ｃ),"",マイランＥＰＤ,茶,110.2,90.22,253,0,Ｃ,27880.6,22825.66,5054.94,マイランＥＰＤ,2359006M1025,4987888172097;4987888172103;
53253003D11001,ｱﾐﾉﾊﾞｸﾄ,内,アミノバクト配合顆粒　４．７４ｇ(分包1包),"",日医工,湿布棚横,63,53.3967,242,0,包,15246,12922.0014,2323.9986,日医工,3253003D1108,4987376043021;4987376043038;
53259108B10301,ｱﾐﾉﾚﾊﾞﾝｲ,内,アミノレバンＥＮ配合散(分包50ｇ),"",大塚製薬,湿布棚横,7.6,7.4,650,0,ｇ,4940,4810,130,大塚製薬,3259108B1039,4987035021001;4987035583226;4987035583325;
52149114F12201,ｱﾑﾊﾞﾛﾊ,内,アムバロ配合錠「日医工」(PTP1錠),"",日医工,茶劇,14.8,13,320,0,錠,4736,4160,576,日医工,2149114F1226,4987376336017;
52171022F14603,ｱﾑﾛｼﾞﾋﾟ02,内,アムロジピン錠２．５ｍｇ「ファイザー」(PTP1錠),"",ファイザーＵＰＪ,"",10.1,7.58,154,0,錠,1555.4,1167.32,388.08,ヴィアトリス製薬,2171022F1460,4987901012904;4987901013000;
52171022F24603,ｱﾑﾛｼﾞﾋﾟ05,内,アムロジピン錠５ｍｇ「ファイザー」(PTP1錠),"",ファイザーＵＰＪ,茶劇,10.1,7.18,187,0,錠,1888.7,1342.66,546.04,ヴィアトリス製薬,2171022F2467,4987901013307;4987901013406;
52171022F33301,ｱﾑﾛｼﾞﾋﾟｵ0,内,アムロジピンＯＤ錠２．５ｍｇ「杏林」(PTP1錠),"",キョーリンリメディオ,茶劇､PTP/ﾊﾞﾗ,10.1,5.5,424,0,錠,4282.4,2332,1950.4,杏林製薬,2171022F3331,4987060306456;4987060306463;
52171022F43301,ｱﾑﾛｼﾞﾋﾟｵ0,内,アムロジピンＯＤ錠５ｍｇ「杏林」(PTP1錠),"",キョーリンリメディオ,茶劇,10.8,8.5,683,0,錠,7376.4,5805.5,1570.9,杏林製薬,2171022F4338,4987060306487;4987060306494;
52171022F43347,ｱﾑﾛｼﾞﾋﾟｵ0,内,アムロジピンＯＤ錠５ｍｇ「杏林」(ﾊﾞﾗ1錠),"",キョーリンリメディオ,カセット､ﾊﾞﾗ,10.8,8.5,721,0,錠,7786.8,6128.5,1658.3,杏林製薬,2171022F4338,4987060306500;
52171022F62202,ｱﾑﾛｼﾞﾋﾟｵ1,内,アムロジピンＯＤ錠１０ｍｇ「ケミファ」(PTP1錠),"",日本薬品工業,茶劇,18.7,14.3,55,0,錠,1028.5,786.5,242,日本薬品工業,2171022F6225,4987440559014;
52171022F30201,ｱﾑﾛｼﾞﾝｵ02,内,アムロジンＯＤ錠２．５ｍｇ(PTP1錠),"",住友ファーマ,茶劇,17.2,12.82,209,0,錠,3594.8,2679.38,915.42,住友ファーマ,2171022F3021,4987116155014;4987116155113;4987116155212;
52171022F60201,ｱﾑﾛｼﾞﾝｵ10,内,アムロジンＯＤ錠１０ｍｇ(PTP1錠),"",住友ファーマ,茶劇,34.4,26.99,24,0,錠,825.6,647.76,177.84,住友ファーマ,2171022F6020,4987116155052;4987116155076;
52171022F20401,ｱﾑﾛｼﾞﾝｼ05,内,アムロジン錠５ｍｇ(PTP1錠),"",住友ファーマ,茶劇,21.4,15.95,142,0,錠,3038.8,2264.9,773.9,住友ファーマ,2171022F2041,4987116156585;4987116156608;4987116156622;
56250046F10201,ｱﾒﾅﾘｰﾌ02,内,アメナリーフ錠２００ｍｇ(PTP1錠),"",マルホ,下,1272.1,0,0,0,錠,0,0,0,マルホ,6250046F1028,4987213110206;
56131001M23501,ｱﾓｷｼｼﾘﾝ25,内,アモキシシリンカプセル２５０ｍｇ「ＴＣＫ」(PTP1Ｃ),"",辰巳化学,下,10.1,8.7,150,0,Ｃ,1515,1305,210,辰巳化学,6131001M2351,4987124270525;
51129007F10204,ｱﾓﾊﾞﾝｼﾞ07,内,アモバン錠７．５　７．５ｍｇ(PTP1錠),"",サノフィ,茶向３０,13.6,13.6,51,0,錠,693.6,693.6,0,日医工,1129007F1026,4987376553216;
66250700M11802,ｱﾗｾﾅｴﾅ,外,アラセナ－Ａ軟膏３％(ﾁｭｰﾌﾞ5ｇ),"",持田製薬,外用下､5g,186.1,146.88,40,0,ｇ,7444,5875.2,1568.8,持田製薬,6250700M1189,4987224004723;4987224004730;4987224004747;
61329711Q20201,ｱﾗﾐｽﾄﾃ,外,アラミスト点鼻液２７．５μｇ１２０噴霧用　５ｍｇ１０ｇ(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,点鼻､120噴霧,3513.8,3513,6,0,ｷｯﾄ,21082.8,21078,4.8,グラクソ・スミスクラ,1329711Q2028,4987246752039;
61329711Q10201,ｱﾗﾐｽﾄﾃ,外,アラミスト点鼻液２７．５μｇ５６噴霧用　３ｍｇ６ｇ(ｷｯﾄ1ｷｯﾄ),"",グラクソ・スミスクラ,点鼻､56噴霧,1672.5,1673,6,0,ｷｯﾄ,10035,10038,-3,グラクソ・スミスクラ,1329711Q1021,4987246752015;4987246752022;
51190012F40201,ｱﾘｾﾌﾟﾄﾃ05,内,アリセプトＤ錠５ｍｇ(PTP1錠),"",エーザイ,茶劇,143,107.9464,168,0,錠,24024,18134.9952,5889.0048,エーザイ,1190012F4025,4987028211051;4987028211068;
53122007F20301,ｱﾘﾅﾐﾝｴﾌ02,内,２５ｍｇアリナミンＦ糖衣錠(PTP1錠),"",武田テバ薬品,茶あ､PTP/バラ,5.9,4.94,380,0,錠,2242,1877.2,364.8,武田薬品,3122007F2039,4987123063470;4987123127127;4987123139120;
