JAN,在庫数,薬品名,棚番
4987045643132,396,クラシエ半夏瀉心湯エキス細粒(ｽﾃｨｯｸ包2ｇ),右
4987045670879,516,クラシエ白虎加人参湯エキス錠(分包1錠),右
4987045655005,0,クラシエ防風通聖散料エキス細粒(ｽﾃｨｯｸ包3.75ｇ),""
4987045635717,480,クラシエ苓桂朮甘湯エキス細粒(ｽﾃｨｯｸ包2ｇ),右
4987080549314,213,クラリスロマイシン錠２００ｍｇ「サワイ」(PTP1錠),6-D
4987080547310,210,クラリスロマイシン錠５０ｍｇ小児用「サワイ」(PTP1錠),6-C
4987120614200,146.6,クラリスロマイシンＤＳ小児用１０％「タカタ」　１００ｍｇ(ﾊﾞﾗ1ｇ),粉-そ
4987341110604,92,クラリチンレディタブ錠１０ｍｇ(ﾌﾞﾘｽﾀｰ1錠),6-E
4987128005031,94,クリアナール錠２００ｍｇ(PTP1錠),他２
4987123155304,37,グリメピリド錠０．５ｍｇ「ＡＡ」(PTP1錠),""
4987123152372,87,グリメピリド錠１ｍｇ「ＡＡ」(PTP1錠),右
4987087031126,72,クレストール錠２．５ｍｇ(PTP1錠),右
4987316136219,20,クロベタゾールプロピオン酸エステル軟膏０．０５％「ＭＹＫ」(ﾁｭｰﾌﾞ5ｇ),事務1
4987431190288,5,クロミッド錠５０ｍｇ(PTP1錠),不動
4987060307866,126,ケトプロフェンテープ２０ｍｇ「パテル」　７ｃｍ×１０ｃｍ(枚7枚),事務5
4987060307880,175,ケトプロフェンテープ４０ｍｇ「パテル」　１０ｃｍ×１４ｃｍ(枚7枚),事務5
4987120263002,100,ゲンタシン軟膏０．１％　１ｍｇ(ﾁｭｰﾌﾞ10ｇ),20-E
4987057543628,46,コバシル錠２ｍｇ(PTP1錠),他-1
4987246758017,142,ザイザル錠５ｍｇ(PTP1錠),7-C
4987376031318,9,サクコルチン配合錠(PTP1錠),7-D
4987286205601,1.3,サリチル酸「ケンエー」(ﾊﾞﾗ1ｇ),事務
4987294245026,70,サルコートカプセル外用５０μｇ(PTP1Ｃ),20-F
4987084120366,1,サンコバ点眼液０．０２％　５ｍＬ(瓶1瓶),21-B
4987901003704,82,ジェイゾロフト錠２５ｍｇ(PTP1錠),右
4987901004107,90,ジェイゾロフト錠５０ｍｇ(PTP1錠),右
4987123158565,160,ジオクチルソジウムスルホサクシネート耳科用液５％「ＣＥＯ」(本10mL),20-H
4987435426017,100,ジクロフェナクＮａローション１％「ラクール」(本50ｇ),事務2
4987158290407,14,シダキュアスギ花粉舌下錠２０００ＪＡＵ(ﾌﾞﾘｽﾀｰ1錠),他-2
4987158290445,266,シダキュアスギ花粉舌下錠５０００ＪＡＵ(ﾌﾞﾘｽﾀｰ1錠),7-H
4987020020996,50,ジフルプレドナート軟膏０．０５％「イワキ」(ﾁｭｰﾌﾞ5ｇ),事務1
4987020021061,10,ジフルプレドナートクリーム０．０５％「イワキ」(ﾁｭｰﾌﾞ5ｇ),事務1
4987413300612,14,ジャディアンス錠１０ｍｇ(PTP1錠),他-2
4987116530040,152,シュアポスト錠０．２５ｍｇ(PTP1錠),6-A
4987288432258,460,重カマ「ヨシダ」(ﾊﾞﾗ1ｇ),粉-34
4987246741033,87,ジルテック錠１０　１０ｍｇ(PTP1錠),7-I
4987954808998,57,シングレアＯＤ錠１０ｍｇ(ﾌﾞﾘｽﾀｰ1錠),25-L
4987087042412,10,スインプロイク錠０．２ｍｇ(PTP1錠),右
4987387591429,0,スチックゼノールＡ(本40ｇ),事務1
4987709200213,1050,ストミンＡ配合錠(PTP1錠),8-E
4987413836029,0,スピオルトレスピマット６０吸入(ｷｯﾄ1ｷｯﾄ),26-L
4987120216008,6,スマトリプタン錠５０ｍｇ「タカタ」(PTP1錠),劇-1
4987042373018,159,セチリジン塩酸塩錠１０ｍｇ「科研」(PTP1錠),8-G
4987173017713,163,セファドール錠２５ｍｇ(PTP1錠),8-E
4987080496014,45,セフカペンピボキシル塩酸塩錠１００ｍｇ「サワイ」(PTP1錠),8-H
4987222693042,201,セフジトレンピボキシル錠１００ｍｇ「ＯＫ」(PTP1錠),9-I
4987222702256,157.71,セフジトレンピボキシル小児用細粒１０％「ＯＫ」　１００ｍｇ(ﾊﾞﾗ1ｇ),粉-そ
4987080129011,10,セフジニル錠１００ｍｇ「サワイ」(PTP1錠),不動
4987919100815,15,セフゾン細粒小児用１０％　１００ｍｇ(分包0.5ｇ),粉34
4987770512604,25,ゼペリン点眼液０．１％　５ｍｇ５ｍＬ(瓶1瓶),21-A
4987222653770,426,セルトラリン錠２５ｍｇ「明治」(PTP1錠),劇1
4987699058931,96,セルベックスカプセル５０ｍｇ(PTP1Ｃ),右
4987792102289,128,セレコキシブ錠１００ｍｇ「ＪＧ」(PTP1錠),劇1
4987120246036,4511,セレスタミン配合錠(PTP1錠),9-D
4987901007108,251,ソラナックス０．４ｍｇ錠(PTP1錠),向
4987919100013,100,ソランタール錠１００ｍｇ(PTP1錠),9-I
4987155153071,6,ソリフェナシンコハク酸塩ＯＤ錠５ｍｇ「トーワ」(PTP1錠),右
4987123404983,22,ゾルピデム酒石酸塩錠１０ｍｇ「テバ」(PTP1錠),向
4987120110207,5,ダイアップ坐剤６　６ｍｇ(組5個),向
4987120110009,5,ダイアップ坐剤１０　１０ｍｇ(組5個),向
4987123154352,120,タケキャブ錠１０ｍｇ(PTP1錠),10-C
4987123154406,37,タケキャブ錠２０ｍｇ(PTP1錠),右
4987084130105,10,タプコム配合点眼液(本2.5mL),27-L
4987084130129,5,タプロス点眼液０．００１５％(本2.5mL),24-A
4987136100254,60,タミフルカプセル７５　７５ｍｇ(PTP1Ｃ),10-D
4987136100315,93.43,タミフルドライシロップ３％(ﾊﾞﾗ1ｇ),冷蔵庫
4987081108756,64,タリージェ錠５ｍｇ(PTP1錠),他-2
4987128086078,146,タリオンＯＤ錠１０ｍｇ(PTP1錠),10-E
4987084130327,3.5,タリビッド眼軟膏０．３％(ﾁｭｰﾌﾞ3.5ｇ),21-B
4987128011339,20,炭酸リチウム錠１００「ヨシトミ」　１００ｍｇ(PTP1錠),劇2
4987286105246,259,単シロップ「ケンエー」(ﾊﾞﾗ1mL),冷蔵庫
4987080125013,196,タンドスピロンクエン酸塩錠１０ｍｇ「サワイ」(PTP1錠),9-A
4987084232243,15,チモプトール点眼液０．５％(本5mL),27-L
4987497300812,25,チモロールＸＥ点眼液０．５％「ニットー」(本2.5mL),東店
4987123150934,73,チラーヂンＳ散０．０１％(ﾊﾞﾗ1ｇ),粉劇
4987138809834,558,ツムラ黄耆建中湯エキス顆粒（医療用）(分包3ｇ),漢方3
4987138802439,285,ツムラ加味逍遙散エキス顆粒（医療用）(分包2.5ｇ),漢方1
4987138813831,22.5,ツムラ桔梗湯エキス顆粒（医療用）(分包2.5ｇ),漢方3
4987138812537,0,ツムラ桂枝茯苓丸加よく苡仁エキス顆粒（医療用）(分包2.5ｇ),漢方1
4987138801739,207.5,ツムラ五苓散エキス顆粒（医療用）(分包2.5ｇ),漢方2
4987138811431,879,ツムラ柴苓湯エキス顆粒（医療用）(分包3ｇ),右
4987138805935,210,ツムラ治頭瘡一方エキス顆粒（医療用）(分包2.5ｇ),漢方3
4987138804730,637.5,ツムラ釣藤散エキス顆粒（医療用）(分包2.5ｇ),右
4987138808639,315,ツムラ当帰飲子エキス顆粒（医療用）(分包2.5ｇ),漢方3
4987138802934,2577,ツムラ麦門冬湯エキス顆粒（医療用）(分包3ｇ),右
4987138801630,307.5,ツムラ半夏厚朴湯エキス顆粒（医療用）(分包2.5ｇ),漢方1
4987138804136,132.5,ツムラ補中益気湯エキス顆粒（医療用）(分包2.5ｇ),漢方2
4987138802736,320,ツムラ麻黄湯エキス顆粒（医療用）(分包2.5ｇ),漢方2
4987188493700,60,ツロブテロールテープ０．５ｍｇ「久光」(枚1枚),22-G
4987188493724,83,ツロブテロールテープ１ｍｇ「久光」(枚1枚),22-H
4987188493748,109,ツロブテロールテープ２ｍｇ「久光」(枚1枚),22-I
4987919103038,78,ディレグラ配合錠(PTP1錠),10-A
4987028205630,84,デエビゴ錠５ｍｇ(PTP1錠),他-2
4987047211186,89,テグレトール錠１００ｍｇ(PTP1錠),10-G
4987060008411,355,デザレックス錠５ｍｇ(PTP1錠),10-H
4987084136107,0,デタントール０．０１％点眼液(本5mL),""
4987057592596,262,デパケンＲ錠１００ｍｇ(PTP1錠),他-2
4987128003358,144,デパス錠０．５ｍｇ(PTP1錠),向
4987476119855,140,テプレノンカプセル５０ｍｇ「ＹＤ」(PTP1Ｃ),10-I
4987058378038,13,デュロキセチンカプセル２０ｍｇ「アメル」(PTP1Ｃ),劇2
4987153090682,1,テリボン皮下注２８．２μｇオートインジェクター(ｷｯﾄ1ｷｯﾄ),冷蔵庫
4987376001908,75,テルミサルタン錠８０ｍｇ「日医工」(PTP1錠),""
4987376245302,143,ドグマチール錠５０ｍｇ(PTP1錠),他2
4987497295316,30,トスフロ点眼液０．３％(本5mL),21-C
4987376404617,27,ドパコール配合錠Ｌ１００(PTP1錠),他-2
4987057575193,185,トピナ錠２５ｍｇ(PTP1錠),他-2
4987413880619,2,トラディアンス配合錠ＢＰ(PTP1錠),他-2
4987376522717,1900,トラネキサム酸錠２５０ｍｇ「日医工」(PTP1錠),11-E
4987173018550,156,トラマールＯＤ錠２５ｍｇ(PTP1錠),劇2
4987274083389,7827,トラマゾリン点鼻液０．１１８％「ＡＦＰ」(ﾊﾞﾗ1mL),28-J
4987233182580,67,トランコロン錠７．５ｍｇ(PTP1錠),他2
4987081104611,688,トランサミンカプセル２５０ｍｇ(PTP1Ｃ),11-E
4987376371117,100,トリアゾラム錠０．２５ｍｇ「日医工」(PTP1錠),向
4987123409629,2,トリクロルメチアジド錠２ｍｇ「タイヨー」(PTP1錠),11-H
4987123161008,5,ドルモロール配合点眼液「センジュ」(本5mL),27-L
4987080103417,90,ドンペリドン錠５ｍｇ「サワイ」(PTP1錠),11-C
4987080103516,109.5,ドンペリドン錠１０ｍｇ「サワイ」(PTP1錠),11-D
4987813705130,90,ナイキサン錠１００ｍｇ(PTP1錠),他2
4987057080123,0,ナウゼリン錠５　５ｍｇ(PTP1錠),他2
4987057080185,34,ナウゼリン錠１０　１０ｍｇ(PTP1錠),12-C
4987047310926,40,ナジフロキサシンローション１％「ＳＵＮ」(本20mL),事務1
4987188425114,100,ナボールゲル１％(ﾁｭｰﾌﾞ25ｇ),事務1
4987020009625,411.85,乳糖水和物（結晶）「ＮｉｋＰ」(ﾊﾞﾗ1ｇ),粉す
4987047110885,200,尿素クリーム２０％「ＳＵＮ」(ﾁｭｰﾌﾞ25ｇ),事務1
4987114941404,24,ネオメドロールＥＥ軟膏(ﾁｭｰﾌﾞ3ｇ),21-D
4987650705102,50,ネキシウムカプセル１０ｍｇ(PTP1Ｃ),他2
4987650706109,42,ネキシウムカプセル２０ｍｇ(PTP1Ｃ),12-D
4987123149402,60,ネシーナ錠２５ｍｇ(PTP1錠),右
4987919100204,580,ノイロビタン配合錠(PTP1錠),他2
4987846101510,258,ノベルジン錠２５ｍｇ(PTP1錠),11-A
4987616003242,0,ノボラピッド注　フレックスタッチ　３００単位(ｷｯﾄ1ｷｯﾄ),""
4987616001712,2,ノボラピッド３０ミックス注　フレックスペン　３００単位(ｷｯﾄ1ｷｯﾄ),冷蔵庫
4987341103071,69,バイアスピリン錠１００ｍｇ(PTP1錠),右
4987341113056,8,バイナス錠７５ｍｇ(PTP1錠),不動
4987057522470,70,パタノール点眼液０．１％(本5mL),21-E
4987028200079,42,バファリン配合錠Ａ８１　８１ｍｇ(SP1錠),右
4987614439401,88,バラシクロビル錠５００ｍｇ「ＳＰＫＫ」(PTP1錠),""
4987123406406,0,バラシクロビル錠５００ｍｇ「テバ」(PTP1錠),右
4987699058726,84,パリエット錠１０ｍｇ(PTP1錠),13-B
4987114933300,22,ハルシオン０．１２５ｍｇ錠(PTP1錠),向
4987058221303,200,バルプロ酸ナトリウム錠２００ｍｇ「アメル」(PTP1錠),右
4987770515506,12,パルモディア錠０．１ｍｇ(PTP1錠),右
4987123001373,10,ヒアルロン酸Ｎａ点眼液０．１％「センジュ」　５ｍＬ(瓶1瓶),21-F
4987123001397,8,ヒアルロン酸Ｎａ点眼液０．３％「センジュ」　５ｍＬ(瓶1瓶),21-G
4987087035032,59,ＰＬ配合顆粒(分包1ｇ),棚下
4987158709176,114,ビオスリー配合散(分包1ｇ),粉33
4987306066182,164,ビオフェルミン錠剤(PTP1錠),13-C
4987306066625,131,ビオフェルミン配合散(分包1ｇ),粉
4987306066724,799,ビオフェルミンＲ散(分包1ｇ),分包
4987306066984,91,ビオフェルミンＲ錠(PTP1錠),右
4987306066922,682.5,ビオフェルミンＲ散(ﾊﾞﾗ1ｇ),バラ
4987020020002,0,ピコスルファートナトリウム錠２．５ｍｇ「イワキ」(PTP1錠),""
4987114067203,60,ピコスルファートナトリウム内用液０．７５％「ＣＨＯＳ」(本10mL),他3
4987123149501,115,ビジュアリン眼科耳鼻科用液０．１％(本5mL),21Ｈ
4987376075312,74,ビソプロロールフマル酸塩錠２．５ｍｇ「日医工」(PTP1錠),右
4987399086203,50,ピタバスタチンカルシウムＯＤ錠２ｍｇ「ＫＯＧ」(PTP1錠),他３
4987376593519,0,ビダラビン軟膏３％「ＳＷ」(ﾁｭｰﾌﾞ5ｇ),事務２
4987081100972,86,ヒダントールＦ配合錠(PTP1錠),向29
4987123151221,15,ピマリシン点眼液５％「センジュ」　５０ｍｇ(本5mL),21-I
4987222002110,658,ビラノアＯＤ錠２０ｍｇ(PTP1錠),13-D
4987213052810,175,ヒルドイドソフト軟膏０．３％(ﾁｭｰﾌﾞ25ｇ),事務2
4987213053510,425,ヒルドイドローション０．３％(本25ｇ),事務2
4987120441813,84.85,ピレチア細粒１０％(ﾊﾞﾗ1ｇ),粉ち
4987084313997,7,ピレノキシン懸濁性点眼液０．００５％「参天」　５ｍＬ(瓶1瓶),22-A
4987123407861,220,ファモチジンＯＤ錠１０ｍｇ「テバ」(PTP1錠),他-3
4987080538110,238,ファモチジンＤ錠２０ｍｇ「サワイ」(PTP1錠),他3
4987909101310,45,ファンギゾンシロップ１００ｍｇ／ｍＬ(本24mL),冷上
4987080263012,986,フェキソフェナジン塩酸塩錠６０ｍｇ「サワイ」(PTP1錠),13-F
4987080276111,66,フェブキソスタット錠１０ｍｇ「サワイ」(PTP1錠),""
4987792103255,0,フェブキソスタット錠２０ｍｇ「ＪＧ」(PTP1錠),返品
4987294394120,0,フェブリク錠１０ｍｇ(PTP1錠),13-G
4987306060128,80,フェルビナクスチック軟膏３％「三笠」(本40ｇ),事務2
4987435425126,300,フェルビナクローション３％「ラクール」(本50mL),事務2
4987376058810,76,フェルムカプセル１００ｍｇ　鉄１００ｍｇ(PTP1Ｃ),他-3
4987888171991,70,フェロ・グラデュメット錠１０５ｍｇ(PTP1錠),他-3
4987028213420,200,フェロミア錠５０ｍｇ　鉄５０ｍｇ(PTP1錠),右
4987431190516,192,フォリアミン錠　５ｍｇ(ﾊﾞﾗ1錠),""
4987888172035,224,フスコデ配合錠(PTP1錠),右
4987080158110,84,プソフェキ配合錠「サワイ」(PTP1錠),12-A
4987123154161,21,プラノバール配合錠(PTP1錠),他3
4987199232206,120,プラビックス錠７５ｍｇ(PTP1錠),13-H
4987084314802,0,ブリモニジン酒石酸塩点眼液０．１％「ＳＥＣ」(本5mL),東店
4987123161022,0,ブリンゾラミド懸濁性点眼液１％「センジュ」(本5mL),27-L
4987123001281,90,フルオロメトロン点眼液０．０２％「センジュ」(本5mL),22-B
4987123001304,55,フルオロメトロン点眼液０．１％「センジュ」(本5mL),22-C
4987047211346,124,プルゼニド錠１２ｍｇ(PTP1錠),右
4987123162166,49,フルチカゾンプロピオン酸エステル５０ＣＥＯ５６　４．０８ｍｇ８(瓶1瓶),28-K
4987080558019,88,フルバスタチン錠２０ｍｇ「サワイ」(PTP1錠),13-I
4987104079018,60,プレガバリンＯＤ錠２５ｍｇ「ＺＥ」(PTP1錠),他3
4987153136632,140,プレドニゾロン錠１ｍｇ（旭化成）(PTP1錠),他3
4987123119597,169,プレドニゾロン錠「タケダ」５ｍｇ(PTP1錠),14-B
4987123416191,66,フロセミド錠２０ｍｇ「武田テバ」(PTP1錠),14-C
4987211153106,90,プロペト(ﾁｭｰﾌﾞ100ｇ),事務
4987614422809,182,ブロマゼパム錠２ｍｇ「サンド」(PTP1錠),返不動動
4987123409353,315,ブロムヘキシン塩酸塩吸入液０．２％「タイヨー」(ﾊﾞﾗ1mL),27-M
4987123162142,29,ベクロメタゾン点鼻液５０μｇ「ＣＥＯ」　８．５ｍｇ８．５ｇ(瓶1瓶),27-K
4987155140064,34,ベクロメタゾンパウダー２５μｇトーワ　１．５０ｍｇ０．９０８７ｇ(瓶1瓶),24-C
4987155055153,51,ベザフィブラート徐放錠２００ｍｇ「トーワ」(PTP1錠),14=D
4987123147866,35,ベストロン耳鼻科用１％　１０ｍｇ（溶解後の液として）(本5mL),22-F
4987155402025,1012,ベタヒスチンメシル酸塩錠６ｍｇ「ＪＤ」(PTP1錠),""
4987020020897,65,ベタメタゾン吉草酸エステル軟膏０．１２％「イワキ」(ﾁｭｰﾌﾞ5ｇ),事務２
4987047104020,900,ヘパリン類似物質外用泡状スプレー０．３％「ＰＰ」(本100ｇ),事務2
4987376559904,300,ヘパリン類似物質ローション０．３％「日医工」(本50ｇ),事務2
4987190510808,642,ベポタスチンベシル酸塩ＯＤ錠１０ｍｇ「タナベ」(PTP1錠),14-F
4987213109804,89.1,ヘマンジオルシロップ小児用０．３７５％(ﾊﾞﾗ1mL),冷上
4987376104821,7.9,ペリアクチン散１％(ﾊﾞﾗ1ｇ),粉
4987060008206,26.5,ペンタサ顆粒９４％(分包1.06ｇ),右
4987616003631,98,ペンニードルプラス３２Ｇ　４ｍｍ(ﾊﾞﾗ1本),右
4987888170840,7,ホクナリンテープ０．５ｍｇ(枚1枚),22-G
4987213021304,72,強力ポステリザン（軟膏）(ﾁｭｰﾌﾞ2ｇ),""
4987288212805,1470,ポピヨドンガーグル７％(本30mL),27-J
4987120441011,1538,ポララミン錠２ｍｇ(PTP1錠),14-H
4987120441202,970,ポララミンシロップ０．０４％(ﾊﾞﾗ1mL),冷上
4987120440717,618.5,ポララミンドライシロップ０．２％(ﾊﾞﾗ1ｇ),粉
4987081384563,10,ポンタールカプセル２５０ｍｇ(PTP1Ｃ),不動
4987699057705,6.03,マーズレンＳ配合顆粒(分包0.67ｇ),粉34
4987341108366,30,マイコスポールクリーム１％(ﾁｭｰﾌﾞ10ｇ),23-A
4987376924511,80,マグミット錠２５０ｍｇ(PTP1錠),右
4987173083817,339,マグミット錠３３０ｍｇ(PTP1錠),右
4987028233220,28,ミオナール錠５０ｍｇ(PTP1錠),他3
4987080136217,178,ミグリトールＯＤ錠５０ｍｇ「サワイ」(PTP1錠),右
4987080137214,73,ミグリトールＯＤ錠７５ｍｇ「サワイ」(PTP1錠),右
4987158290209,14,ミティキュアダニ舌下錠３３００ＪＡＵ(ﾌﾞﾘｽﾀｰ1錠),15-B
4987158290247,226,ミティキュアダニ舌下錠１００００ＪＡＵ(ﾌﾞﾘｽﾀｰ1錠),15-C
4987312121363,414,ミヤＢＭ細粒(ﾊﾞﾗ1ｇ),粉
